label,spread,tick_volume,Bullish swing,Bearish swing,Bullish pinbar,Bearish pinbar,Inside bar,Outside bar,Bullish engulfing,Bearish engulfing
False,20,57623,False,False,False,False,False,False,False,False
False,20,57362,False,False,False,False,False,False,False,False
False,20,58245,True,False,False,False,False,False,False,False
True,20,53899,False,True,False,False,True,False,False,False
False,20,43535,False,False,False,False,False,False,False,False
True,20,52192,False,False,False,False,False,True,False,False
False,20,51763,True,True,False,False,True,False,False,False
True,20,47093,False,False,False,True,False,False,False,False
True,20,43605,False,True,False,False,False,False,False,False
True,20,32920,True,False,False,False,False,False,False,False
True,20,52458,False,False,False,False,False,False,False,False
True,20,31585,False,False,False,False,False,False,False,False
False,20,10279,False,False,False,False,False,False,False,False
True,20,9977,False,False,False,True,False,False,False,False
True,8,51828,False,False,True,False,False,True,False,False
True,8,51185,True,False,False,False,False,False,False,False
True,7,53036,False,False,False,False,False,False,False,False
False,8,50362,False,False,False,False,False,False,False,False
False,9,47308,False,True,False,False,False,False,False,False
True,9,44429,False,False,True,False,False,False,False,False
False,8,46231,True,False,False,False,False,False,False,False
False,9,53415,False,False,False,False,False,False,False,False
True,9,57633,False,True,False,False,False,False,False,False
False,9,56801,False,False,False,False,False,False,False,False
False,9,56277,False,False,False,False,False,False,False,False
True,8,56987,False,False,False,False,False,False,False,False
False,8,57238,True,False,False,False,False,False,False,False
True,9,54665,False,True,False,False,False,False,False,False
True,9,50781,False,False,False,False,False,False,False,False
True,9,47918,True,False,False,False,False,False,False,False
False,20,52419,False,False,False,False,False,False,False,False
True,9,49690,False,True,False,False,True,False,False,False
False,9,52747,False,False,False,False,False,False,False,False
True,9,51998,False,True,False,False,False,False,False,False
True,11,41921,True,False,False,False,False,False,False,False
True,10,52752,False,False,False,False,False,False,False,False
True,11,55297,False,False,False,False,False,False,False,False
False,10,55062,False,False,False,False,False,False,False,False
True,10,54796,False,True,False,False,True,False,False,False
False,10,52288,False,False,False,False,False,True,False,False
True,8,53650,True,False,False,False,False,False,False,False
True,9,57461,False,False,False,False,False,False,False,False
False,10,53701,False,True,False,False,True,False,False,False
False,10,54238,False,False,False,False,False,False,False,False
False,8,49290,False,False,False,False,False,True,False,False
False,11,59771,False,True,False,False,False,False,False,False
True,10,60586,False,False,False,False,False,False,False,False
False,10,54266,False,False,False,False,False,True,False,False
True,20,56052,True,True,False,False,True,False,False,False
False,8,58977,False,False,False,False,True,False,False,False
True,10,59228,False,False,False,False,False,False,False,False
False,10,54844,True,False,False,False,False,False,False,False
False,8,54234,False,False,False,False,False,False,False,False
True,10,46232,False,True,False,False,True,False,False,False
False,8,48882,False,False,False,False,False,False,False,False
True,8,51000,False,True,False,False,True,False,False,False
False,11,54479,False,False,False,True,False,False,False,False
True,10,59578,False,True,False,False,False,False,False,False
True,9,50069,True,False,False,False,True,False,False,False
False,9,54601,False,False,False,False,False,False,False,False
True,9,62593,False,True,False,False,False,False,False,False
False,9,56508,True,False,False,False,True,False,False,False
False,8,60605,False,False,False,False,False,False,False,False
