label,spread,tick_volume,Bullish swing,Bearish swing,Bullish pinbar,Bearish pinbar,Inside bar,Outside bar,Bullish engulfing,Bearish engulfing
False,20,24510,False,False,False,False,False,False,False,False
False,20,32852,False,False,False,False,False,False,False,False
True,20,25428,True,False,False,False,True,False,False,False
True,20,32817,False,False,False,False,False,False,False,False
False,20,24479,False,True,False,False,True,False,False,False
False,20,29420,False,False,False,False,False,True,False,False
True,20,20824,False,True,True,False,False,False,False,False
True,20,22711,True,False,False,False,False,False,False,False
False,20,20218,False,False,False,True,False,False,False,False
True,20,31974,False,True,False,False,False,False,False,False
True,20,22012,True,False,False,False,True,False,False,False
True,20,29751,False,False,False,False,False,False,False,False
False,20,19921,False,False,False,False,False,False,False,False
True,20,27172,False,False,False,False,False,True,False,False
True,20,17134,False,True,False,False,False,False,False,False
True,20,26471,False,False,True,False,False,True,False,False
False,20,18742,True,False,False,False,False,False,False,False
True,20,14178,False,True,False,False,True,False,False,False
True,20,22590,False,False,False,False,False,False,False,False
True,20,29868,False,False,False,False,False,False,False,False
True,20,22904,False,True,False,False,True,False,False,False
False,20,8681,False,False,False,False,False,False,False,False
True,20,4024,False,True,False,False,True,False,False,False
True,20,6255,False,False,False,False,False,True,False,False
False,20,4170,True,False,False,True,False,False,False,False
False,20,5807,False,False,False,True,False,True,False,False
True,8,24183,False,True,False,False,False,False,False,False
False,8,27645,True,False,False,False,False,False,False,False
True,8,21104,False,True,False,False,True,False,False,False
True,8,30081,False,False,False,False,False,True,False,False
True,9,22729,True,False,False,False,False,False,False,False
True,7,30307,False,False,False,False,False,True,False,False
False,8,21673,True,False,False,False,False,False,False,False
False,8,28689,False,True,True,False,False,False,False,False
True,10,21812,False,False,False,False,False,False,False,False
False,9,25496,True,False,False,False,True,False,False,False
True,9,18966,False,False,False,False,False,False,False,False
True,9,25463,False,False,True,False,False,False,False,False
False,10,20727,True,False,False,False,False,False,False,False
False,8,25504,False,False,False,False,False,False,False,False
False,9,22417,False,False,False,True,False,False,False,False
True,9,30998,False,False,False,False,False,True,False,False
False,9,25477,False,True,False,False,False,False,False,False
True,9,32156,False,False,False,False,False,True,False,False
False,9,26279,False,True,False,False,False,False,False,False
False,9,30522,True,False,False,False,False,False,False,False
False,9,27569,False,True,False,False,False,False,False,False
