label,spread,tick_volume,Bullish swing,Bearish swing,Bullish pinbar,Bearish pinbar,Inside bar,Outside bar,Bullish engulfing,Bearish engulfing
False,20,238188,False,False,False,False,False,False,False,False
False,20,137219,False,False,False,False,False,False,False,False
False,7,253719,False,False,False,False,False,False,False,False
False,8,258509,False,False,False,True,False,False,False,False
True,8,275948,False,True,False,False,False,False,False,False
True,9,254772,True,False,False,False,False,False,False,False
True,10,259828,False,False,False,False,False,False,False,False
False,8,271338,False,False,False,False,False,False,False,False
True,8,279965,False,False,False,False,False,True,False,False
True,8,273515,False,True,False,False,False,False,False,False
False,8,264008,True,False,False,True,False,False,False,False
True,8,291225,False,True,False,False,False,False,False,False
False,8,262869,True,False,False,False,False,False,False,False
False,8,251332,False,True,False,False,False,False,False,False
False,9,297310,False,False,False,False,False,False,False,False
True,8,224864,False,False,False,False,False,False,False,False
False,9,131192,False,False,False,False,False,False,False,False
True,15,125425,True,False,False,False,False,False,False,False
False,9,216349,False,False,False,False,False,True,False,False
False,8,229724,True,False,False,True,False,False,False,False
False,8,250323,False,True,False,False,False,False,False,False
False,9,252553,False,False,False,False,False,False,False,False
False,9,237535,False,False,False,False,False,False,False,False
False,8,249618,False,False,False,False,False,False,False,False
True,8,225199,False,False,False,False,False,False,False,False
False,8,231398,True,False,False,False,True,False,False,False
True,8,228230,False,False,True,False,False,True,False,False
False,8,162343,True,False,False,False,False,False,False,False
False,9,184704,False,False,False,False,False,True,False,False
True,8,205760,False,True,False,False,False,False,False,False
False,8,176113,True,False,False,False,False,False,False,False
True,9,170707,False,True,True,False,False,False,False,False
False,9,208873,True,False,False,False,False,False,False,False
False,9,200306,False,True,True,False,False,False,False,False
False,8,243903,False,False,True,False,False,False,False,False
False,8,298888,False,False,False,False,False,False,False,False
True,9,314472,False,False,False,False,False,False,False,False
False,10,374158,False,False,False,False,False,False,False,False
False,8,266022,True,False,False,False,True,False,False,False
True,8,272240,False,False,False,False,False,False,False,False
True,8,316404,False,False,False,False,False,False,False,False
False,8,270708,True,False,False,False,False,False,False,False
True,8,217772,False,False,False,False,False,False,False,False
True,7,234190,False,False,False,False,False,True,False,False
True,7,189642,True,False,False,False,False,False,False,False
False,7,308877,False,False,False,False,False,False,False,False
True,7,213396,False,False,False,False,False,False,False,False
True,8,206938,False,False,False,False,False,False,False,False
False,6,175776,False,False,False,False,False,False,False,False
False,7,201495,False,True,False,False,False,False,False,False
True,7,206021,False,False,False,False,False,False,False,False
True,5,210442,False,False,True,False,False,False,False,False
False,5,162228,True,False,False,False,False,False,False,False
True,5,166897,False,False,False,False,False,False,False,False
True,7,213717,False,False,False,False,False,False,False,False
True,6,182346,False,False,False,False,False,False,False,False
True,6,232903,False,False,False,False,False,False,False,False
True,7,249632,False,False,False,False,False,False,False,False
False,8,223958,False,False,False,False,False,False,False,False
False,7,277699,False,True,True,False,False,False,False,False
True,7,306137,True,False,False,False,False,False,False,False
False,8,348701,False,False,False,True,False,False,False,False
False,8,396564,False,True,False,False,False,False,False,False
False,8,392533,False,False,True,False,False,False,False,False
True,9,406871,False,False,False,False,False,True,False,True
False,9,458788,False,True,True,False,False,False,False,False
False,7,424403,True,False,False,False,True,False,False,False
False,4,385836,False,False,False,True,False,True,False,False
True,8,299467,False,True,False,False,False,False,False,False
False,9,269494,True,False,False,False,False,False,False,False
True,8,383714,False,False,False,False,False,True,False,True
True,8,405633,False,False,False,False,False,True,True,False
False,6,426252,True,False,False,False,False,False,False,False
False,5,447361,False,False,False,True,False,False,False,False
False,8,402459,False,False,False,True,False,False,False,False
True,8,278582,False,True,False,False,False,False,False,False
True,8,322173,False,False,False,False,False,False,False,False
True,7,354659,True,False,False,False,False,False,False,False
False,7,359458,False,False,False,False,False,False,False,False
True,5,359940,False,False,False,False,False,False,False,False
False,8,416914,False,False,False,False,False,False,False,False
True,8,330571,False,False,False,False,False,False,False,False
True,7,326961,False,True,False,False,False,False,False,False
False,6,325238,True,False,False,False,False,False,False,False
True,7,348475,False,False,False,False,False,False,False,False
True,7,326017,False,False,True,False,False,True,False,False
False,7,311532,True,False,False,False,False,False,False,False
False,7,375582,False,False,False,False,False,True,False,True
True,8,376884,False,True,False,False,False,False,False,False
True,7,235100,False,False,False,False,False,False,False,False
True,8,346292,False,False,False,False,False,False,False,False
False,7,342030,True,False,False,False,False,False,False,False
False,6,283803,False,False,False,False,False,False,False,False
False,7,413507,False,True,True,False,False,False,False,False
True,6,406219,True,False,False,False,True,False,False,False
False,6,373990,False,False,False,False,False,True,False,False
False,5,366657,True,False,False,False,False,False,False,False
True,7,474565,False,True,True,False,False,False,False,False
True,7,500747,True,False,False,False,False,False,False,False
False,5,402186,False,False,False,False,False,False,False,False
False,7,476302,False,True,True,False,False,False,False,False
True,4,568034,True,False,False,False,True,False,False,False
True,6,467630,False,False,False,False,False,False,False,False
False,4,418218,False,True,False,False,True,False,False,False
False,6,428297,False,False,False,False,False,True,False,False
True,6,479792,False,True,False,False,False,False,False,False
False,6,544412,False,False,False,False,False,False,False,False
False,4,569330,False,False,False,False,False,False,False,False
False,4,565075,False,False,False,False,False,False,False,False
True,2,575815,False,False,True,False,False,False,False,False
True,6,498006,True,False,False,False,False,False,False,False
True,6,519353,False,False,False,False,False,False,False,False
False,6,522590,False,False,False,False,False,False,False,False
False,6,543775,False,True,False,False,False,False,False,False
False,5,494669,False,False,True,False,False,False,False,False
False,4,521416,False,False,False,False,False,False,False,False
True,4,459859,False,False,False,False,False,False,False,False
False,4,444935,True,False,False,False,True,False,False,False
False,4,418893,False,False,False,False,True,False,False,False
True,6,418630,False,False,False,False,False,False,False,False
False,3,349511,True,False,False,False,True,False,False,False
False,5,286579,False,False,False,False,False,False,False,False
False,5,373701,False,False,False,False,False,False,False,False
True,5,416779,False,False,False,False,False,False,False,False
True,5,414711,True,False,False,False,False,False,False,False
False,4,399132,False,False,False,False,False,False,False,False
True,4,418856,False,True,False,False,True,False,False,False
False,5,426978,False,False,False,False,False,False,False,False
True,5,427567,False,True,True,False,False,False,False,False
False,4,388764,True,False,False,False,False,False,False,False
False,5,411748,False,True,False,False,True,False,False,False
True,5,388769,False,False,False,False,False,False,False,False
True,5,359095,False,False,True,False,False,False,False,False
True,5,341352,True,False,False,False,False,False,False,False
False,5,348155,False,False,False,False,False,False,False,False
False,5,333420,False,True,False,False,False,False,False,False
True,5,353276,False,False,False,False,False,False,False,False
True,5,380825,False,False,False,False,False,True,False,False
False,5,353589,True,False,False,False,False,False,False,False
False,5,306452,False,False,False,False,False,True,False,False
False,5,391689,False,True,False,False,False,False,False,False
False,5,390345,False,False,False,False,False,False,False,False
False,5,431732,False,False,False,False,False,False,False,False
True,5,429758,False,False,False,False,False,False,False,False
True,5,436821,True,False,False,False,False,False,False,False
False,5,437695,False,False,False,False,False,False,False,False
True,5,439106,False,False,False,False,False,False,False,False
False,5,420423,False,True,False,False,False,False,False,False
False,5,376626,False,False,False,False,False,False,False,False
False,4,379199,False,False,True,False,False,False,False,False
True,5,379945,False,False,False,False,False,False,False,False
True,5,433996,False,False,False,False,False,True,False,False
False,4,397075,True,False,False,False,False,False,False,False
True,5,374313,False,False,False,False,False,False,False,False
True,5,336236,False,True,False,False,True,False,False,False
True,5,345156,False,False,False,False,False,False,False,False
